,all_stem_den,big_stem_bas,can_covr_mea,can_heig_mea,ELT
1,11016.59822,29.10418788,92.2,22.6,do
2,3199.980329,25.92303626,92.72,22.9,do
3,7974.628622,29.47087673,94.28,24.3,do
4,15294.41486,27.04087047,97.92,18.9,do
5,17180.68699,36.19287924,97.92,26,dm
6,7017.910771,27.66375597,91.68,26.8,wm
7,26317.7188,38.0889361,92.2,15.5,do
8,10458.78688,26.91777939,94.28,29,dm
9,5365.828699,25.78000431,99.48,27.7,wm
10,21003.08791,13.87331623,99.48,21.2,do
11,5949.909517,35.89125029,97.4,24.2,dm
12,20158.99461,19.83527488,92.72,21,dm
13,12813.33276,16.90301707,89.08,12.6,do
14,8877.019325,38.19231146,97.4,24.65,do
15,8100.611432,18.55368471,97.92,24.5,wm
16,13376.11481,18.04112499,94.28,26.1,dm
17,7160.828229,22.7667006,2.76,25.3,do
18,27098.15013,23.18938445,98.44,19.3,do
19,10749.48614,21.34503485,97.4,19.9,do
20,19115.47464,24.59464328,90.64,20.65,do
21,3626.181703,37.74961495,95.84,39.4,dm
22,12482.16484,34.77777234,90.64,22,do
23,12747.93577,23.06384603,99.48,20.6,do
24,4766.601427,19.45137638,97.92,26.5,dm
25,6854.982509,19.27311262,94.28,28.6,dm
26,4015.121867,29.12175973,95.32,23,dm
27,10748.145,35.9787963,91.16,26,dm
28,30600.90002,26.87368823,93.24,27.1,dm
29,31500.60843,20.08586224,91.16,27,do
30,4498.148207,23.79565745,95.84,25.7,dm
31,8189.201742,45.05640614,93.24,30.1,dm
32,7530.335925,26.48773397,50.08,25.9,do
33,11090.04207,28.89943418,96.88,17.9,do
34,5601.30672,39.07933276,91.16,27.5,dm
35,15536.5986,48.18343253,88.04,28.1,wm
36,20287.65971,25.21292779,92.2,23.5,wm
37,3350.891472,36.1829137,98.44,22.1,do
38,7313.080516,33.73548242,93.24,30,dm
39,4881.461215,21.47413658,96.36,25.9,wm
40,706.0401946,19.17020714,92.72,30.7,wm
41,25250.61164,53.20630042,94.8,25.5,wm
42,8764.841826,39.15199898,94.8,30.7,dm
43,18382.9805,24.53302269,90.98666667,18.96666667,do
44,4028.927177,22.17066724,96.36,29.1,wm
45,17514.14333,15.35337536,98.96,30.1,wm
